city,latitude,longitude
"El Paso, Texas",31.7601164,-106.4870404
"San Diego, California",32.7174202,-117.162772
"Las Vegas, Nevada",36.1674263,-115.1484131
"Montana",47.3752671,-109.638757
"Rio Grande Valley, Texas",25.9920,-97.1830
"Southwest Missouri",39.2974026,-94.719359
"Seattle, Washington",47.6061,-122.3328
"Wallingford",41.4564233,-72.8239356
"Carmel, Indiana",39.9784186,-86.1283681
"Salt Lake City, Utah",40.7596198,-111.886797
"St. Louis",38.6280278,-90.1910154
"Albuquerque, New Mexico",35.0841034,-106.650985
"Amherst, Massachusetts",42.3731948,-72.5198761
"Orange County, California",33.750631,-117.8722311
"Atlanta, Georgia",33.7544657,-84.3898151
"Minneapolis, Minnesota",44.9772995,-93.265D4692
"Ghana",8.0300284,-1.0800271
"Houston, Texas",29.7589382,-95.3676974
"Chicago, Illinois",41.8755616,-87.6244212
"San Diego, California",32.7174202,-117.162772
"San Diego, California",32.7174202,-117.162772
"Long Island, New York",40.8514971,-73.0994297
"Jeddah, Saudi Arabia",21.5504432,39.1742363
"San Diego, California",32.7174202,-117.162772
"Houston, Texas",29.7589382,-95.3676974
"Oakville lighthouse, Canada",43.437588,-79.662687
"Shanghai, China",31.2312707,121.4700152
"Beijing, China",40.190632,116.412144
"Seattle, Washington",47.6061,-122.3328
"Augusta, Georgia",33.4709714,-81.9748429
"Beijing, China",40.190632,116.412144
"Connecticut",41.6500201,-72.7342163
"Seattle, Washington",47.6038321,-122.330062
"Arcadia, California",34.1362075,-118.0401497
"New York",40.7127281,-74.0060152
"Atlanta, Georgia",33.7544657,-84.3898151
"Irvine, California",33.6856969,-117.825981
"Vancouver, Canada",49.2608724,-123.113952
"Accra, Ghana",5.5571096,-0.2012376
"Turkey",39.294076,35.2316631
"North Carolina",35.6729639,-79.0392919
"Rockville, Maryland",39.0817985,-77.1516844
"Southern Orange County, California",33.6619658,-117.9021546
"Texas",31.2638905,-98.5456116
"Bay Area",37.7884969,-122.3558473
"Cupertino, California",37.3230,-122.0322
"Lynbrook",40.6548253,-73.6717969
"Greater Toronto Area, Ontario, Canada",43.9019833,-79.268313
"New Jersey",40.0757384,-74.4041622
"New Mexico",34.5802074,-105.996047
"Orange County, California",33.750631,-117.8722311
"Arcadia, California",34.1362075,-118.0401497
"San Diego, California",32.7174202,-117.162772
"Indiana",40.3270127,-86.1746933
"A small village in Cameroon",7.3697,12.3547
"Nanjing, China",32.0438284,118.7788631
"India",22.3511148,78.6677428
"Seattle",47.6038321,-122.330062
"Buhl, Idaho",42.5990714,-114.7594946
"Buffalo, New York",42.8867166,-78.8783922
"Baltimore, Maryland",39.2908816,-76.610759
"Baltimore",39.2908816,-76.610759
"Madison, Wisconsin",43.074761,-89.3837613
"Florida",27.7567667,-81.4639835
"Madison, Wisconsin",43.074761,-89.3837613
"Bethesda, Maryland",38.9812725,-77.1233587
"Long Beach, California",33.7690164,-118.191604
"Austin, Texas",30.2711286,-97.7436995
"Pennsylvania",40.9699889,-77.7278831
"Hershey, Pennsylvania",40.2850285,-76.6534662
"Orlando, Florida",28.5421109,-81.3790304
"Irvine, California",33.6856969,-117.825981
"Menlo Park, California",37.4519671,-122.177992
"New York City",40.7127281,-74.0060152
"Great Neck",40.7870327,-73.7267563
"Wisconsin",44.4308975,-89.6884637
"Virginia",37.1232245,-78.4927721
"Benicia, California",38.049365,-122.1585777
"Singapore",1.357107,103.8194992
"Maryland",39.5162401,-76.9382069
"North Atlanta High School, Atlanta, Georgia",33.8662205,-84.4445377
"San Diego, California",32.7174202,-117.162772
"Bay Area",37.7884969,-122.3558473
"New Jersey",40.0757384,-74.4041622
"New York City",40.7127281,-74.0060152
"Washington State",47.2868352,-120.212613
"Bay Area",37.7884969,-122.3558473
"California",36.7014631,-118.755997
"London, England",51.4893335,-0.1440551
"Houston, Texas",29.7589382,-95.3676974
"Seattle, Washington",47.6038321,-122.330062
"Bellevue",47.6144219,-122.192337
"Bothell, Washington",47.7623204,-122.2054035
"North Seattle",47.6987081,-122.3325518
"Bellevue, Washington",47.6144219,-122.192337
"North Seattle",47.6987081,-122.3325518
"Joplin, Missouri",37.0841838,-94.5133385
"Georgia",32.3293809,-83.1137366
"Lexington, Kentucky",38.0464066,-84.4970393
"San Jose",37.3361663,-121.890591
"Michigan",43.6211955,-84.6824346
"Detroit metro area",42.3297,83.0425
"San Diego, California",32.7174202,-117.162772
"Alabama",33.2588817,-86.8295337
"Auburn",32.6098566,-85.4807825
"Buhl",48.9161045,8.0063486
"South Lake Tahoe, California",38.9456646,-119.9687141
"Austin, Texas",30.2711286,-97.7436995
"Boise",43.6166163,-116.200886
"New Hampshire",43.4849133,-71.6553992
"Vista Ridge High School, Cedar Park",30.5166545,-97.7865464
"Ridge High School",40.6935234,-74.5465114
"Arizona",34.395342,-111.763275
"Cedar Park, Texas",30.5217116,-97.827833
"Chicago, Illinois",41.8755616,-87.6244212
"Portland, Oregon",45.5202471,-122.674194
"Nairobi, Kenya",-1.2832533,36.8172449
"Tampa, Florida",27.9477595,-82.458444
"Cupertino, California",37.3228934,-122.0322895
"Dallas, Texas",32.7762719,-96.7968559
"Austin, Texas",30.2711286,-97.7436995
"Miami, Florida",25.7741728,-80.19362
"New Mexico",34.5802074,-105.996047
"New York City",40.7127281,-74.0060152
"Bay Area",37.7884969,-122.3558473
"Pasadena, California",34.1476507,-118.144155
"Pahrump, Nevada",36.2087301,-115.984614
"Orange County, California",33.750631,-117.8722311
"University of Illinois Urbana-Champaign",40.0761545,-88.2233134
"Haverford, Pennsylvania",40.0131672,-75.2943516

